16:15:49:057 [ALWAYS]	GUDE Logging Started
16:15:49:058 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:15:49:058 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:15:49:058 [ERROR]	Initialize resume cache pointer failure
16:15:49:058 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:15:49:058 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:15:52:276 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:15:52:276 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:15:52:276 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:15:52:276 [ERROR]	Initialize resume cache pointer failure
16:15:52:276 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:15:52:276 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
